evidence_id,country,relation_type,reporter_name,counterparty_name,counterparty_country,confidence,source_system,document_id,document_title,excerpt,page_reference,filing_year,amount_text,percentage_text,parser_method,named_counterparty,download_url,local_path
au-commonwealth-bank-statement-1-ev-91246b92ed,AU,undisclosed_supplier,Commonwealth Bank,Undisclosed Supplier · Commonwealth Bank · au-commonwealth-bank-statement-1,,low,Modern Slavery Statements Register,au-commonwealth-bank-statement-1,Statement #2025-2902," Commonwealth Bank of Australia ABN 48 123 123 124 AFSL and Australian credit licence 234945. 2025 Modern Slavery and Human Trafficking Statement Introduction Structure, Operations and Understanding Modern Actions Taken to Assess and Efectiveness Consultation and ChairIntroduction Supply Chain Slavery Risks Address Modern Slavery Risk Assessment Attestation ContentsIdentification of the Reporting Entity Chapters Page reference Modern Slavery Act mandatory criteria The 2025 Modern Slavery and Hum",,2025,,,modern_slavery_placeholder,False,https://modernslaveryregister.gov.au/statements/lce4mSsu3g8WchI/pdf/,/workspace/data/raw/au/commonwealth-bank/statement-1.pdf
au-commonwealth-bank-statement-2-ev-91246b92ed,AU,undisclosed_supplier,Commonwealth Bank,Undisclosed Supplier · Commonwealth Bank · au-commonwealth-bank-statement-2,,low,Modern Slavery Statements Register,au-commonwealth-bank-statement-2,Statement #2024-3329,"2024 Modern Slavery and Human Trafficking Statement Commonwealth Bank of Australia ABN 48 123 123 124 AFSL and Australian credit licence 234945. Introduction Identification of the Reporting Entity This Statement is prepared on behalf of the Commonwealth Bank of Australia (CBA or the bank), together with the entities it owns or controls, including the Reporting Entities listed in Appendix A (together, the CBA Group).1 This Statement outlines the actions taken by the CBA Group to assess and addres",,2024,,,modern_slavery_placeholder,False,https://modernslaveryregister.gov.au/statements/I5Tq13waiwoMEah/pdf/,/workspace/data/raw/au/commonwealth-bank/statement-2.pdf
au-commonwealth-bank-2025-annual-report-ev-8908b74ea7,AU,undisclosed_supplier,Commonwealth Bank,Undisclosed Supplier · Commonwealth Bank · au-commonwealth-bank-2025-annual-report,,low,Australian Annual Report,au-commonwealth-bank-2025-annual-report,Commonwealth Bank annual report 2025,"2025 Annual Report Commonwealth Bank of Australia Front cover Our cover reflects our optimism for Australia and commitment to building a brighter future for all. Each chapter of our report opens with an Australian landscape or cityscape, representing the communities we bank across Australia and our commitment to helping the nation prosper. Contents Overview 2025 highlights 2 About this report 4 Message from our Chair and CEO 6 Who we are 8 Our operating context 10 How we create value 12 Creating",,2025,,,australia_annual_report_placeholder,False,https://www.commbank.com.au/content/dam/commbank-assets/investors/docs/results/fy25/2025-annual-report.pdf,/workspace/data/raw/au/commonwealth-bank/2025-annual-report.pdf
au-bhp-group-statement-1-ev-91246b92ed,AU,undisclosed_supplier,BHP Group,Undisclosed Supplier · BHP Group · au-bhp-group-statement-1,,low,Modern Slavery Statements Register,au-bhp-group-statement-1,Statement #2025-1916,"Modern Slavery Statement 2025 Bringing people and resources together to build a better world Cover photo Spence, Chile BHP Modern Slavery Statement 2025 BHP Group Limited. ABN 49 004 028 077. Registered in Australia. Registered office and global headquarters: 171 Collins Street, Melbourne, Victoria 3000, Australia. This publication is BHP’s Slavery and Human Trafficking Statement (United Kingdom) and Joint Modern Slavery Statement (Australia) and BHP Canada Inc.’s Canadian Forced Labour and Chil",,2025,,,modern_slavery_placeholder,False,https://modernslaveryregister.gov.au/statements/h7O0KIsVA9szAHH/pdf/,/workspace/data/raw/au/bhp-group/statement-1.pdf
au-bhp-group-statement-2-ev-91246b92ed,AU,undisclosed_supplier,BHP Group,Undisclosed Supplier · BHP Group · au-bhp-group-statement-2,,low,Modern Slavery Statements Register,au-bhp-group-statement-2,Statement #2024-1870,"MODERN SLAVERY STATEMENT 2024Bringing people and resources together to build a better world BHP recognises modern slavery affects many people across the globe. We are not immune to these risks. Our actions to combat modern slavery in our operations and throughout our supply chain are founded on the collective conviction that everyone has fundamental human rights to freedom, safety and dignity. We take our responsibility to respect human rights seriously. As one of the world’s leading resource co",,2024,,,modern_slavery_placeholder,False,https://modernslaveryregister.gov.au/statements/jr2S3taNPxhO4wI/pdf/,/workspace/data/raw/au/bhp-group/statement-2.pdf
au-national-australia-bank-statement-1-ev-91246b92ed,AU,undisclosed_supplier,National Australia Bank,Undisclosed Supplier · National Australia Bank · au-national-australia-bank-statement-1,,low,Modern Slavery Statements Register,au-national-australia-bank-statement-1,Statement #2025-961,"Modern Slavery Group Statement For year ended December 31, 2024 I. Introduction JPMorgan Chase & Co. (“JPMorganChase”, the “Firm” or “we”) strives to support principles of human rights as they relate to our corporate and business segments and in each region of the world where we operate. We recognize that modern slavery issues, such as forced labor, harmful child labor and human trafficking, are global challenges. To that end, this Group Statement (“Statement”), made pursuant to section 54 of th",,2025,,,modern_slavery_placeholder,False,https://modernslaveryregister.gov.au/statements/CR5hunitQV8mgHT/pdf/,/workspace/data/raw/au/national-australia-bank/statement-1.pdf
au-national-australia-bank-statement-2-ev-91246b92ed,AU,undisclosed_supplier,National Australia Bank,Undisclosed Supplier · National Australia Bank · au-national-australia-bank-statement-2,,low,Modern Slavery Statements Register,au-national-australia-bank-statement-2,Statement #2025-1367," Bank of America Modern Slavery Statement Date published: June 2025 2 Introduction Bank of America Corporation (Bank of America or the Company) is headquartered in Charlotte, North Carolina. As of December 31, 2024, we operated across the United States, its territories and more than 35 countries and had approximately 213,000 teammates worldwide. Through our various bank and non-bank subsidiaries throughout the United States and in international markets, we provide a diversified range of banking ",,2025,,,modern_slavery_placeholder,False,https://modernslaveryregister.gov.au/statements/HJTHJgt5kK8GqVC/pdf/,/workspace/data/raw/au/national-australia-bank/statement-2.pdf
au-national-australia-bank-2024-annual-report-ev-8908b74ea7,AU,undisclosed_supplier,National Australia Bank,Undisclosed Supplier · National Australia Bank · au-national-australia-bank-2024-annual-report,,low,Australian Annual Report,au-national-australia-bank-2024-annual-report,National Australia Bank annual report 2024,"Annual Report 2024 National Australia Bank Limited ABN 12 004 044 937 National Australia Bank Limited ABN 12 004 044 937 This 2024 Annual Report (Report) is lodged with the Australian Securities and Investments Commission and ASX Limited. National Australia Bank Limited (NAB) is publicly listed in Australia. The Report contains information prepared on the basis of the Banking Act 1959 (Cth), Corporations Act 2001 (Cth), 4th edition ASX Corporate Governance Councilʼs Corporate Governance Principl",,2024,,,australia_annual_report_placeholder,False,https://www.nab.com.au/content/dam/nab/documents/reports/corporate/2024-annual-report.pdf,/workspace/data/raw/au/national-australia-bank/2024-annual-report.pdf
au-westpac-banking-statement-1-ev-91246b92ed,AU,undisclosed_supplier,Westpac Banking,Undisclosed Supplier · Westpac Banking · au-westpac-banking-statement-1,,low,Modern Slavery Statements Register,au-westpac-banking-statement-1,Statement #2025-307,"WESTPAC GROUP MODERN SLAVERY STATEMENT 2024 A WESTPAC BANKING CORPORATION ABN 33 007 457 141 MODERNSLAVERY STATEMENT2024 WESTPAC GROUP MODERN SLAVERY STATEMENT 2024 1 ABOUT THIS STATEMENT 2 MESSAGE FROM THE CEO 3 1. OUR COMMITMENT 4 2. OUR STRUCTURE, OPERATIONS AND SUPPLY CHAIN 6 3. OUR ACTIONS TO IDENTIFY, ADDRESS AND ASSESS MODERN SLAVERY RISKS 10 4. GRIEVANCE MECHANISMS AND REMEDIATION 28 5. ASSESSING THE EFFECTIVENESS OF OUR ACTIONS AND FUTURE FOCUS 30 6. REPORTING ENTITIES AND APPROVAL 33 A",,2025,,,modern_slavery_placeholder,False,https://modernslaveryregister.gov.au/statements/ASlxzEqDmkrlLx8/pdf/,/workspace/data/raw/au/westpac-banking/statement-1.pdf
au-westpac-banking-statement-2-ev-91246b92ed,AU,undisclosed_supplier,Westpac Banking,Undisclosed Supplier · Westpac Banking · au-westpac-banking-statement-2,,low,Modern Slavery Statements Register,au-westpac-banking-statement-2,Statement #2024-277,"2023 WESTPAC BANKING CORPORATION ABN 33 007 457 141 MODERN SLAVERY STATEMENT CONTENTS 1 MESSAGE FROM THE CEO 2 2 KEY AREAS OF ACTION IN FY23 3 3 OUR STRUCTURE, OPERATIONS AND SUPPLY CHAIN 4 4 IDENTIFYING MODERN SLAVERY RISKS IN OUR OPERATIONS AND SUPPLY CHAIN 8 5 OUR ACTIONS TO IDENTIFY, ASSESS AND ADDRESS MODERN SLAVERY RISK 14 6 ASSESSING THE EFFECTIVENESS OF OUR MODERN SLAVERY APPROACH AND DEFINING OUR FUTURE FOCUS 33 7 CONSULTATION WITH OWNED OR CONTROLLED ENTITIES 41 8 OVERVIEW OF REPORTING",,2024,,,modern_slavery_placeholder,False,https://modernslaveryregister.gov.au/statements/ZjnX9uavQYLpmll/pdf/,/workspace/data/raw/au/westpac-banking/statement-2.pdf
